periode,from_player,to_player,total_passes,total_assists
B,Kevon Looney,Quinndary Weatherspoon,2,0
B,Kevon Looney,Jordan Poole,110,6
B,Kevon Looney,Juan Toscano-Anderson,3,0
B,Kevon Looney,Damion Lee,7,2
B,Kevon Looney,Gary Payton II,11,0
B,Kevon Looney,Andrew Wiggins,36,5
B,Kevon Looney,Otto Porter Jr.,15,1
B,Kevon Looney,Draymond Green,57,0
B,Kevon Looney,Klay Thompson,39,11
B,Kevon Looney,Nemanja Bjelica,2,0
B,Kevon Looney,Stephen Curry,3,0
B,Kevon Looney,Andre Iguodala,3,1
B,Damion Lee,Moses Moody,5,1
B,Damion Lee,Jonathan Kuminga,16,3
B,Damion Lee,Quinndary Weatherspoon,1,0
B,Damion Lee,Jordan Poole,56,0
B,Damion Lee,Juan Toscano-Anderson,20,1
B,Damion Lee,Chris Chiozza,12,1
B,Damion Lee,Gary Payton II,7,1
B,Damion Lee,Kevon Looney,15,0
B,Damion Lee,Andrew Wiggins,11,2
B,Damion Lee,Otto Porter Jr.,5,0
B,Damion Lee,Draymond Green,36,1
B,Damion Lee,Klay Thompson,9,0
B,Damion Lee,Nemanja Bjelica,18,2
B,Damion Lee,Stephen Curry,2,0
B,Damion Lee,Andre Iguodala,1,0
B,Andre Iguodala,Moses Moody,2,0
B,Andre Iguodala,Jonathan Kuminga,7,1
B,Andre Iguodala,Jordan Poole,14,2
B,Andre Iguodala,Chris Chiozza,6,0
B,Andre Iguodala,Damion Lee,2,0
B,Andre Iguodala,Gary Payton II,14,3
B,Andre Iguodala,Kevon Looney,3,0
B,Andre Iguodala,Andrew Wiggins,15,1
B,Andre Iguodala,Otto Porter Jr.,23,2
B,Andre Iguodala,Draymond Green,4,1
B,Andre Iguodala,Klay Thompson,20,2
B,Andre Iguodala,Nemanja Bjelica,50,3
